Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2021-04-22;Comores;3824;146;3645;3.82;95.32;0.86

2021-04-22;Cambodge;8193;59;2924;0.72;35.69;63.59

2021-04-22;Kirghizistan;93006;1566;87554;1.68;94.14;4.18

2021-04-22;Kenya;154392;2560;105367;1.66;68.25;30.10

2021-04-22;Japon;553362;9778;491505;1.77;88.82;9.41

2021-04-22;Jordanie;697487;8474;658287;1.21;94.38;4.41

2021-04-22;Jamaïque;44502;751;20170;1.69;45.32;52.99

2021-04-22;Italie;3920945;118357;3330392;3.02;84.94;12.04

2021-04-22;Islande;6379;29;6223;0.45;97.55;1.99

2021-04-22;Iran;2335905;68366;1837590;2.93;78.67;18.41

2021-04-22;Iraq;1010304;15128;884181;1.50;87.52;10.99

2021-04-22;Inde;16263695;186920;13648159;1.15;83.92;14.93

2021-04-22;Israël;837807;6346;829424;0.76;99.00;0.24

2021-04-22;Irlande;245310;4866;23364;1.98;9.52;88.49

2021-04-22;Indonésie;1626812;44172;1481449;2.72;91.06;6.22

2021-04-22;Hongrie;760967;26001;469592;3.42;61.71;34.87

2021-04-22;Haïti;12944;251;11945;1.94;92.28;5.78

2021-04-22;Croatie;316308;6738;293454;2.13;92.77;5.10

2021-04-22;Honduras;204828;5047;77431;2.46;37.80;59.73

2021-04-22;Hong-Kong;11718;209;11316;1.78;96.57;1.65

2021-04-22;Guyana;12234;277;10555;2.26;86.28;11.46

2021-04-22;Guinée-Bissau;3721;66;3205;1.77;86.13;12.09

2021-04-22;Guatemala;218145;7345;194075;3.37;88.97;7.67

2021-04-22;Grèce;326395;9788;93764;3.00;28.73;68.27

2021-04-22;Guinée Équatoriale;7505;106;7016;1.41;93.48;5.10

2021-04-22;Guadeloupe;12927;194;2242;1.50;17.34;81.16

2021-04-22;Guinée;21745;139;19080;0.64;87.74;11.62

2021-04-22;Gambie;5820;173;5272;2.97;90.58;6.44

2021-04-22;Gibraltar;4291;94;4182;2.19;97.46;0.35

2021-04-22;Ghana;91928;777;89729;0.85;97.61;1.55

2021-04-22;Guyane Française;18261;96;9995;0.53;54.73;44.74

2021-04-22;Géorgie;300264;3981;283557;1.33;94.44;4.24

2021-04-22;Grenade;159;1;155;0.63;97.48;1.89

2021-04-22;Royaume-Uni;4409543;127503;10013;2.89;0.23;96.88

2021-04-22;Gabon;22228;136;18908;0.61;85.06;14.32

2021-04-22;France;5368009;101503;294784;1.89;5.49;92.62

